,AM1,AM2,AM3,AM4,AM5,AM6,CD1,CD2,CD3,CD4,CD5,CD6,BU1,BU2,BU3,BU4,BU5,BU6,Rur,sex,Pub,pro_an,pro_cd,pro_bu,Mat
1800,2,2,2,2,4,NA,3,3,2,2,NA,NA,1,1,2,1,1,2,1,F,1,2.4,2.5,1.333333333,412.0128
1801,1,2,1,1,3,NA,4,4,NA,NA,4,4,1,1,1,1,1,1,1,M,1,1.6,4,1,501.8539
1802,3,3,2,3,4,NA,4,NA,4,NA,2,3,2,2,1,1,1,1,0,M,1,3,3.25,1.333333333,272.3546
1803,4,4,4,4,NA,4,2,2,2,3,4,NA,1,4,1,1,1,1,0,F,1,4,2.6,1.5,330.8464
1804,3,3,3,3,3,NA,3,NA,3,NA,4,3,1,1,1,1,1,1,0,M,1,3,3.25,1,365.7733
1805,NA,4,NA,NA,NA,2,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,1,F,1,3,2,1,287.816
1806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,3,NA,2,1,1,M,1,NA,NA,1.8,352.3086
1807,4,4,NA,4,4,4,4,3,NA,3,NA,2,1,2,1,1,1,1,1,F,1,4,3,1.166666667,408.7452
1808,3,4,4,1,NA,4,2,4,NA,3,3,NA,NA,NA,NA,NA,NA,NA,0,F,1,3.2,3,NA,299.4533
1809,2,NA,2,2,4,3,NA,3,NA,3,2,2,1,2,1,1,1,1,1,M,1,2.6,2.5,1.166666667,439.9041
1810,NA,3,3,3,4,4,NA,4,4,4,3,NA,2,2,1,1,1,1,0,F,0,3.4,3.75,1.333333333,378.7114
1811,3,3,2,3,NA,2,3,3,NA,3,3,3,1,2,1,1,2,1,0,F,1,2.6,3,1.333333333,366.6741
1812,NA,2,3,2,4,2,NA,NA,3,3,3,4,1,1,1,1,1,1,0,M,0,2.6,3.25,1,462.9438
1813,NA,3,2,3,4,4,NA,4,4,4,NA,3,1,1,1,1,1,2,0,F,1,3.2,3.75,1.166666667,416.0147
1814,1,2,2,NA,2,2,1,1,NA,NA,3,1,1,1,1,1,1,1,1,M,1,1.8,1.5,1,307.2223
1815,2,1,3,2,3,NA,4,NA,3,2,4,4,1,1,1,1,1,1,1,F,1,2.2,3.4,1,467.2673
1816,3,3,2,4,NA,4,NA,2,NA,3,2,1,3,3,2,1,1,4,1,F,1,3.2,2,2.333333333,432.4915
1817,4,4,3,NA,NA,4,2,NA,4,2,1,4,NA,NA,NA,NA,NA,NA,0,M,1,3.75,2.6,NA,318.5587
1818,1,3,NA,2,4,1,3,3,3,3,3,NA,1,1,1,1,1,1,0,M,1,2.2,3,1,453.6713
1819,NA,3,3,2,4,4,NA,3,3,3,3,NA,1,1,1,1,1,1,1,M,1,3.2,3,1,428.1481
1820,1,1,1,NA,1,1,NA,4,4,4,4,NA,1,1,1,1,1,1,1,F,1,1,4,1,406.107
1821,3,2,3,NA,4,3,2,2,NA,3,4,NA,1,1,1,1,1,1,0,M,0,3,2.75,1,462.4735
1822,3,2,3,2,3,NA,3,3,4,3,3,NA,1,1,1,1,1,1,0,M,1,2.6,3.2,1,308.5448
1823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,2,4,0,M,1,NA,NA,1.666666667,308.76
1824,2,1,2,2,NA,3,NA,3,3,4,NA,4,1,2,1,1,1,1,0,F,1,2,3.5,1.166666667,409.9306
1825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,2,2,1,M,1,NA,NA,1.333333333,337.7137
1826,NA,2,2,2,4,4,3,NA,4,3,4,3,1,1,1,1,2,1,0,F,0,2.8,3.4,1.166666667,506.6009
1827,3,3,3,NA,4,1,4,3,NA,NA,3,3,1,1,1,1,1,1,0,M,1,2.8,3.25,1,369.0456
1828,2,2,2,2,4,NA,4,NA,3,3,4,NA,1,1,2,1,1,1,0,M,1,2.4,3.5,1.166666667,476.3974
1829,3,NA,3,3,3,3,3,2,NA,4,2,3,NA,NA,NA,NA,NA,NA,0,M,1,3,2.8,NA,420.0619
1830,3,2,3,3,4,NA,3,3,4,NA,3,NA,1,1,1,1,1,1,0,M,1,3,3.25,1,372.0325
1831,3,4,4,NA,4,4,2,2,NA,3,NA,2,4,3,4,2,3,4,0,F,1,3.8,2.25,3.333333333,363.1067
1832,4,3,3,NA,3,3,3,2,2,3,NA,2,1,1,1,1,1,1,0,F,1,3.2,2.4,1,390.1717
1833,1,2,2,NA,3,1,3,4,4,NA,NA,3,1,1,1,1,1,1,0,M,1,1.8,3.5,1,331.7933
1834,NA,2,2,2,2,2,3,4,NA,4,2,NA,1,1,1,1,1,1,1,M,1,2,3.25,1,374.5176
