,AM1,AM2,AM3,AM4,AM5,AM6,CD1,CD2,CD3,CD4,CD5,CD6,BU1,BU2,BU3,BU4,BU5,BU6,Rur,sex,Pub,pro_an,pro_cd,pro_bu,Mat
1,1,1,1,NA,1,1,NA,1,4,1,1,4,2,1,1,1,1,2,0,M,1,1,2.2,1.333333333,421.6888
2,NA,1,1,1,4,4,NA,2,3,3,NA,2,1,1,2,1,1,3,0,F,1,2.2,2.5,1.5,364.7624
3,4,4,3,NA,4,4,2,3,3,NA,3,NA,1,1,1,1,1,1,0,F,1,3.8,2.75,1,437.2205
4,NA,2,2,2,4,3,3,2,2,NA,3,NA,1,1,1,1,1,3,0,M,1,2.6,2.5,1.333333333,452.2478
5,2,2,2,NA,2,2,4,4,NA,4,4,4,1,2,1,1,1,1,0,F,1,2,4,1.166666667,345.5884
6,3,NA,2,2,4,3,2,2,2,3,NA,NA,2,2,1,1,1,1,0,F,1,2.8,2.25,1.333333333,495.1239
7,4,3,3,3,NA,3,3,NA,4,3,3,2,2,2,1,1,1,2,1,F,1,3.2,3,1.5,379.9869
8,4,3,NA,4,4,4,NA,NA,2,3,3,3,3,2,3,1,1,1,0,F,1,3.8,2.75,1.833333333,440.0863
9,3,3,3,3,NA,3,3,NA,4,NA,4,4,2,3,1,1,1,4,0,F,1,3,3.75,2,322.2659
10,NA,NA,NA,NA,NA,NA,1,NA,3,NA,2,4,NA,NA,NA,1,NA,NA,1,F,1,NA,2.5,1,306.0381
11,4,4,4,4,NA,4,3,NA,3,3,3,NA,3,4,3,3,3,4,1,M,1,4,3,3.333333333,417.0243
12,NA,NA,NA,NA,NA,NA,3,NA,3,3,NA,4,1,1,1,1,1,1,1,M,1,NA,3.25,1,414.7002
13,2,2,NA,2,3,2,3,NA,2,3,2,1,1,1,1,1,1,1,0,F,1,2.2,2.2,1,426.639
14,4,NA,4,4,4,4,NA,4,3,4,2,NA,2,4,1,1,1,2,0,F,1,4,3.25,1.833333333,422.1668
15,NA,3,3,3,4,2,3,3,NA,3,2,NA,4,2,1,2,3,2,0,M,1,3,2.75,2.333333333,416.5137
16,3,3,3,3,3,NA,3,NA,2,3,3,NA,1,1,1,1,1,1,0,M,1,3,2.75,1,348.1975
17,3,NA,3,3,3,2,NA,4,4,NA,4,4,1,2,1,1,1,2,1,F,1,2.8,4,1.333333333,300.9176
18,4,NA,4,4,3,3,2,1,NA,3,2,3,1,1,1,1,1,1,0,F,1,3.6,2.2,1,440.5898
19,4,4,NA,4,4,4,3,2,NA,3,1,1,2,1,1,1,1,2,0,F,1,4,2,1.333333333,395.6946
20,4,NA,NA,NA,NA,NA,NA,4,4,4,NA,4,1,1,1,1,1,1,0,M,1,4,4,1,378.5287
21,NA,1,1,1,1,1,3,3,3,3,NA,3,1,1,1,1,1,1,1,M,1,1,3,1,358.1975
22,NA,2,2,2,4,4,NA,2,3,4,2,2,1,1,1,1,1,1,0,M,1,2.8,2.6,1,366.3366
23,4,NA,4,4,4,4,3,NA,4,3,2,2,1,1,1,1,1,1,0,F,0,4,2.8,1,353.774
24,NA,2,2,2,4,3,4,3,4,NA,4,4,2,1,1,1,1,1,0,F,1,2.6,3.8,1.166666667,370.2752
25,1,1,1,NA,1,1,NA,3,3,3,3,3,1,1,1,1,1,1,0,M,1,1,3,1,296.2855
26,3,NA,3,2,4,4,NA,3,4,4,4,NA,1,1,1,1,1,3,0,F,0,3.2,3.75,1.333333333,552.1744
27,3,2,3,3,NA,3,3,NA,4,4,4,NA,1,2,3,2,1,4,0,M,1,2.8,3.75,2.166666667,328.35
28,1,1,1,NA,3,1,3,NA,NA,4,2,3,NA,NA,NA,NA,NA,NA,0,M,1,1.4,3,NA,402.4631
29,3,2,2,3,NA,3,4,3,NA,3,3,NA,NA,NA,NA,NA,NA,NA,0,M,0,2.6,3.25,NA,464.323
30,2,2,2,2,3,NA,NA,2,1,3,3,3,2,1,1,1,1,2,0,F,0,2.2,2.4,1.333333333,311.6818
31,2,3,NA,2,2,2,4,3,4,NA,4,4,1,1,1,1,1,1,1,F,1,2.2,3.8,1,314.7323
32,NA,NA,NA,NA,NA,NA,NA,3,3,4,3,3,1,1,1,1,1,NA,1,M,1,NA,3.2,1,322.3313
33,3,3,NA,3,3,3,3,4,3,NA,NA,3,1,1,1,1,1,1,1,F,1,3,3.25,1,340.4872
34,4,4,NA,4,4,4,3,3,3,NA,3,NA,1,1,1,1,1,1,0,F,1,4,3,1,343.4313
35,NA,NA,NA,NA,NA,NA,NA,NA,2,4,1,4,1,1,1,1,1,1,0,F,1,NA,2.75,1,261.9848
36,3,2,2,2,NA,2,3,3,3,NA,NA,3,1,1,1,1,1,1,0,F,1,2.2,3,1,378.2499
37,4,3,4,4,NA,4,NA,3,3,3,2,3,1,1,1,1,1,1,0,F,1,3.8,2.8,1,349.4221
38,3,3,3,NA,3,3,3,NA,3,3,3,3,1,1,1,1,1,1,0,F,1,3,3,1,339.1203
39,1,1,NA,1,4,3,3,3,4,NA,3,2,1,1,1,1,1,1,0,M,1,2,3,1,487.0573
40,4,NA,2,2,4,4,4,3,NA,3,3,3,1,1,1,1,1,1,0,F,1,3.2,3.2,1,396.7112
41,NA,4,3,4,4,4,NA,4,3,4,3,NA,2,1,1,1,1,2,1,F,1,3.8,3.5,1.333333333,407.1795
42,1,1,1,1,NA,1,3,3,2,NA,2,3,3,3,2,1,2,4,0,F,1,1,2.6,2.5,364.3117
43,2,3,3,3,3,NA,3,4,4,NA,3,3,1,1,1,1,1,2,0,F,1,2.8,3.4,1.166666667,371.8767
44,2,NA,2,2,2,2,2,NA,NA,NA,NA,NA,1,1,1,2,1,4,0,M,1,2,2,1.666666667,389.9063
45,NA,3,3,3,3,3,NA,2,2,2,NA,2,1,2,2,1,1,2,0,M,1,3,2,1.5,416.3568
46,4,4,NA,3,4,3,2,1,NA,3,NA,3,2,2,3,1,3,4,0,M,1,3.6,2.25,2.5,351.5197
47,3,3,2,3,3,NA,3,3,NA,NA,2,3,1,1,1,1,1,2,1,F,1,2.8,2.75,1.166666667,351.727
48,4,4,4,4,4,NA,3,1,NA,NA,3,3,1,1,1,1,1,1,0,M,1,4,2.5,1,412.0064
49,NA,3,3,2,4,3,NA,NA,3,4,1,4,1,1,1,1,1,1,0,F,1,3,3,1,400.4349
50,3,2,3,2,3,NA,4,NA,4,NA,1,3,1,1,1,1,1,1,0,F,1,2.6,3,1,337.8683
51,2,1,2,NA,3,3,2,NA,2,3,3,NA,1,1,2,1,1,1,0,M,1,2.2,2.5,1.166666667,456.4676
52,3,1,1,1,NA,4,3,NA,4,NA,3,2,NA,NA,NA,NA,NA,NA,0,F,1,2,3,NA,377.286
53,4,4,NA,4,4,4,NA,1,2,3,2,NA,1,2,1,3,1,2,0,M,1,4,2,1.666666667,363.3235
54,3,2,2,3,NA,1,3,2,4,NA,NA,3,1,1,1,1,1,2,1,M,1,2.2,3,1.166666667,374.5529
55,4,2,3,NA,4,4,3,NA,4,3,3,NA,2,4,4,3,1,4,1,M,1,3.4,3.25,3,405.7081
56,3,2,NA,3,3,3,3,3,3,3,NA,3,1,1,1,2,1,1,0,F,1,2.8,3,1.166666667,323.3057
57,1,2,1,2,NA,1,NA,1,1,NA,1,1,4,4,4,2,1,1,0,M,1,1.4,1,2.666666667,427.713
58,4,4,4,4,NA,4,2,2,2,NA,2,NA,1,1,1,1,1,1,1,F,1,4,2,1,414.4231
59,NA,1,1,2,1,1,NA,3,4,3,4,NA,NA,NA,NA,NA,NA,NA,0,M,1,1.2,3.5,NA,501.857
60,NA,3,3,3,3,3,3,3,NA,3,NA,3,1,1,1,1,1,2,0,M,1,3,3,1.166666667,312.3993
61,3,NA,3,3,4,3,3,4,4,4,NA,NA,1,1,1,1,1,1,0,M,1,3.2,3.75,1,427.2613
62,3,3,3,3,4,NA,NA,3,NA,3,3,4,NA,NA,NA,NA,NA,NA,1,M,1,3.2,3.25,NA,350.9491
63,3,3,2,3,3,NA,2,3,2,NA,NA,4,1,1,1,1,1,1,0,M,1,2.8,2.75,1,368.6662
64,3,3,3,NA,4,4,3,3,4,NA,3,2,NA,NA,NA,NA,NA,NA,0,F,1,3.4,3,NA,356.736
65,4,2,NA,3,4,3,3,3,NA,NA,3,4,1,1,1,2,1,2,0,M,1,3.2,3.25,1.333333333,343.6173
66,2,2,2,2,NA,2,3,NA,3,3,3,3,1,1,1,1,1,1,0,M,1,2,3,1,340.5403
67,4,4,4,4,4,NA,NA,1,1,2,2,NA,1,1,1,1,1,1,0,F,1,4,1.5,1,387.1885
68,3,3,3,3,3,NA,2,2,2,NA,2,2,1,1,1,1,1,2,1,M,1,3,2,1.166666667,364.5863
69,NA,2,2,2,3,2,4,4,4,NA,3,4,1,1,1,1,1,1,0,M,1,2.2,3.8,1,380.1855
70,3,2,2,2,NA,2,NA,2,2,4,2,NA,1,1,1,1,1,2,0,F,1,2.2,2.5,1.166666667,407.9338
71,3,2,2,2,NA,1,NA,3,3,3,3,2,1,2,1,1,1,2,0,F,1,2,2.8,1.333333333,392.1
72,4,1,1,2,NA,3,3,3,NA,3,NA,2,1,1,3,1,1,3,0,M,1,2.2,2.75,1.666666667,382.5814
73,NA,4,4,4,4,1,2,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,1,F,1,3.4,1.5,NA,355.4249
74,3,3,3,NA,4,4,NA,3,4,NA,4,4,2,1,1,1,1,1,0,F,1,3.4,3.75,1.166666667,395.4931
75,2,2,2,2,3,NA,NA,2,2,2,NA,2,1,1,1,1,1,1,0,M,1,2.2,2,1,440.5861
76,3,3,NA,3,4,4,3,2,NA,2,2,NA,1,1,1,1,1,1,0,F,0,3.4,2.25,1,420.5747
77,NA,1,1,1,1,1,3,NA,NA,2,2,3,4,3,1,2,1,3,1,M,1,1,2.5,2.333333333,356.2704
78,1,1,2,NA,3,1,2,NA,4,2,NA,1,1,1,1,1,1,2,1,F,1,1.6,2.25,1.166666667,335.8386
79,NA,2,3,3,3,2,3,3,NA,3,NA,2,1,1,1,1,1,1,0,M,1,2.6,2.75,1,415.8552
80,2,1,1,NA,2,1,2,1,1,2,NA,4,NA,NA,NA,NA,NA,NA,0,M,0,1.4,2,NA,463.5169
81,4,NA,4,4,4,4,2,2,NA,NA,2,2,1,1,1,1,1,1,0,F,1,4,2,1,352.782
82,3,2,2,NA,4,3,NA,4,3,4,4,3,2,1,1,1,1,1,1,M,1,2.8,3.6,1.166666667,420.962
83,4,1,1,1,4,NA,NA,1,4,NA,3,2,1,1,1,1,1,1,0,F,1,2.2,2.5,1,296.4764
84,3,1,1,1,3,NA,1,1,1,2,NA,1,1,1,1,1,1,1,0,M,1,1.8,1.2,1,440.4649
85,NA,3,2,2,3,2,NA,3,4,4,NA,4,1,1,1,1,1,3,1,F,1,2.4,3.75,1.333333333,361.88
86,NA,1,1,1,4,4,4,4,4,NA,NA,3,1,1,1,1,1,1,0,M,0,2.2,3.75,1,378.9532
87,2,1,1,1,1,NA,3,2,3,NA,3,4,1,1,1,1,1,1,0,M,1,1.2,3,1,376.6865
88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,M,0,NA,NA,NA,366.7856
89,1,1,1,1,NA,4,3,NA,3,4,4,4,NA,NA,NA,NA,NA,NA,0,M,0,1.6,3.6,NA,486.9631
90,3,2,2,NA,4,2,NA,1,1,3,2,NA,3,4,3,2,1,4,0,F,1,2.6,1.75,2.833333333,360.1876
91,3,2,2,NA,3,2,NA,3,NA,4,4,3,1,1,1,1,1,1,0,F,1,2.4,3.5,1,333.4603
92,3,1,1,1,4,NA,NA,3,4,NA,3,3,1,1,1,1,1,1,0,M,1,2,3.25,1,439.1338
93,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,1,F,1,2,2,2,271.1672
94,4,3,3,3,NA,4,2,3,2,3,1,NA,2,1,1,1,2,3,0,F,1,3.4,2.2,1.666666667,417.1021
95,3,2,2,2,NA,3,3,3,4,NA,3,4,1,1,1,2,1,1,0,M,1,2.4,3.4,1.166666667,469.13
96,3,3,3,NA,3,3,3,3,4,3,NA,NA,1,1,1,1,1,1,0,M,1,3,3.25,1,373.2277
97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,0,M,1,NA,NA,1,329.6453
98,4,4,4,NA,4,3,NA,2,3,3,2,3,1,1,1,1,1,1,1,F,1,3.8,2.6,1,364.3767
99,4,4,NA,4,1,4,1,1,2,NA,NA,1,1,1,1,1,1,1,1,M,1,3.4,1.25,1,342.4997
100,NA,NA,NA,NA,NA,NA,NA,3,4,4,NA,4,1,1,1,1,1,3,1,M,1,NA,3.75,1.333333333,331.881
101,NA,NA,NA,NA,NA,NA,3,NA,3,NA,2,4,1,1,1,1,1,1,0,F,1,NA,3,1,430.399
102,3,NA,3,3,3,3,4,3,3,4,2,NA,1,1,1,1,1,2,1,F,1,3,3.2,1.166666667,320.2852
103,4,2,3,2,2,NA,3,NA,NA,3,1,3,1,1,1,1,1,1,1,M,1,2.6,2.5,1,361.753
104,3,NA,2,2,3,2,3,3,NA,4,4,NA,1,1,1,1,1,1,0,F,0,2.4,3.5,1,433.7318
105,NA,3,3,3,4,4,NA,3,4,3,4,3,1,1,1,1,1,1,0,F,1,3.4,3.4,1,442.2819
106,4,1,2,3,4,NA,4,NA,NA,4,1,4,NA,NA,NA,NA,NA,NA,0,M,0,2.8,3.25,NA,413.2948
107,4,NA,4,4,4,4,NA,NA,1,3,1,1,1,1,1,1,1,2,0,F,1,4,1.5,1.166666667,354.4465
108,3,NA,3,3,3,3,3,NA,3,2,3,NA,1,1,1,1,1,2,0,M,1,3,2.75,1.166666667,313.5447
109,2,2,2,NA,2,2,3,3,NA,3,3,NA,1,1,1,1,1,1,1,M,1,2,3,1,337.026
110,1,1,1,NA,1,1,3,4,4,3,NA,NA,1,1,1,1,1,3,0,F,1,1,3.5,1.333333333,423.3563
111,2,2,NA,2,4,3,4,3,NA,4,4,4,1,1,1,1,1,1,0,F,0,2.6,3.8,1,444.9199
112,3,2,NA,2,3,3,NA,3,3,3,NA,3,1,1,1,1,1,1,1,M,1,2.6,3,1,383.5326
113,3,3,NA,3,3,3,NA,NA,3,3,3,2,2,1,1,1,1,2,1,M,1,3,2.75,1.333333333,419.5235
114,2,NA,2,2,3,1,2,2,4,2,NA,NA,1,1,1,1,1,1,0,M,0,2,2.5,1,529.1092
115,2,NA,4,2,3,4,4,4,4,NA,3,NA,1,1,1,1,1,2,0,F,1,3,3.75,1.166666667,342.5032
116,NA,4,4,4,4,4,3,NA,3,1,1,NA,1,1,1,1,1,1,0,F,1,4,2,1,356.6187
117,4,2,3,2,4,NA,NA,3,3,4,NA,3,1,1,1,1,1,3,0,F,1,3,3.25,1.333333333,348.3396
118,4,4,4,4,NA,4,4,4,NA,NA,3,3,1,1,1,1,1,1,0,F,1,4,3.5,1,256.0363
119,3,2,3,2,4,NA,3,NA,3,4,NA,3,1,1,1,1,1,2,0,F,1,2.8,3.25,1.166666667,386.0669
120,2,2,2,NA,2,2,2,3,NA,NA,4,2,2,3,2,1,2,2,1,F,1,2,2.75,2,243.8329
121,NA,2,2,2,4,3,1,3,3,NA,NA,2,1,1,1,1,1,1,0,M,1,2.6,2.25,1,409.0665
122,4,4,4,4,NA,4,2,2,2,NA,3,1,2,NA,2,1,1,1,0,M,1,4,2,1.4,250.1075
123,NA,NA,NA,NA,NA,NA,3,3,4,3,NA,NA,1,1,1,1,1,1,1,F,1,NA,3.25,1,400.4633
124,NA,2,3,3,4,2,3,3,2,2,2,NA,3,2,1,1,2,3,0,M,1,2.8,2.4,2,404.8655
125,NA,NA,NA,NA,NA,NA,2,3,3,3,NA,NA,4,1,1,1,1,1,1,M,1,NA,2.75,1.5,300.1422
126,3,4,2,2,4,NA,4,3,4,NA,NA,4,1,1,1,1,1,1,1,F,1,3,3.75,1,360.4301
127,3,1,2,2,NA,3,4,2,NA,NA,3,3,1,1,1,1,1,1,0,F,1,2.2,3,1,468.8306
128,4,2,3,2,NA,4,3,NA,3,3,NA,3,1,1,1,2,3,4,1,M,1,3,3,2,454.353
129,3,NA,2,3,3,3,NA,NA,4,3,3,3,1,1,1,1,1,2,0,M,1,2.8,3.25,1.166666667,382.9374
130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,M,1,NA,NA,1,329.805
131,4,NA,NA,3,NA,4,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,0,M,1,3.666666667,NA,1,298.73
132,2,1,2,1,4,NA,3,NA,4,NA,3,3,1,1,1,1,1,2,0,M,1,2,3.25,1.166666667,411.3587
133,3,2,2,2,NA,4,NA,4,NA,3,2,4,1,1,1,1,1,1,0,M,0,2.6,3.25,1,494.8059
134,2,3,2,NA,1,2,4,4,4,NA,4,NA,1,1,1,1,1,1,1,M,1,2,4,1,377.6427
135,1,NA,3,3,3,3,NA,NA,3,3,1,4,1,1,1,1,1,2,0,M,1,2.6,2.75,1.166666667,314.8874
136,NA,2,2,2,3,3,NA,3,3,4,NA,4,1,1,1,1,1,1,0,M,1,2.4,3.5,1,402.2232
137,2,3,4,4,NA,4,NA,NA,2,1,3,1,1,1,1,1,1,4,1,F,1,3.4,1.75,1.5,387.6573
138,3,2,3,NA,3,3,3,NA,4,2,3,NA,1,1,1,1,1,1,1,M,1,2.8,3,1,501.9935
139,4,3,3,NA,4,3,3,2,2,NA,1,NA,NA,NA,NA,NA,NA,NA,0,M,0,3.4,2,NA,402.2992
140,4,2,NA,2,4,2,2,1,3,NA,3,2,1,1,1,1,1,1,0,F,1,2.8,2.2,1,334.8442
141,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,NA,1,1,1,1,1,1,1,M,1,NA,4,1,277.9264
142,2,2,3,3,2,NA,3,NA,4,3,NA,3,1,1,1,1,1,1,1,M,1,2.4,3.25,1,368.2435
143,2,NA,2,2,4,2,NA,3,3,3,2,NA,1,1,1,1,1,1,1,M,1,2.4,2.75,1,405.9893
144,NA,2,2,2,3,3,3,3,4,4,NA,3,1,1,1,2,1,1,0,M,1,2.4,3.4,1.166666667,433.534
145,2,3,3,3,2,NA,NA,NA,2,3,4,4,1,1,1,1,1,1,0,M,1,2.6,3.25,1,377.1978
146,3,2,2,3,NA,3,3,2,NA,2,2,NA,1,3,2,1,1,2,1,M,1,2.6,2.25,1.666666667,364.0203
147,4,2,2,2,4,NA,NA,2,3,2,3,NA,3,3,2,2,1,3,0,F,1,2.8,2.5,2.333333333,389.3988
148,4,4,4,NA,4,4,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,0,F,1,4,1,NA,335.9023
149,3,3,NA,3,3,3,4,NA,3,1,1,1,1,4,1,4,1,1,0,F,1,3,2,2,292.0116
150,4,1,1,1,NA,1,NA,3,3,3,3,2,1,1,1,1,1,1,1,M,1,1.6,2.8,1,347.2062
151,4,3,3,3,NA,2,NA,3,4,4,NA,3,1,1,1,1,1,1,0,F,1,3,3.5,1,340.6291
152,1,3,NA,2,4,NA,1,1,NA,1,2,1,1,NA,NA,NA,NA,NA,1,F,1,2.5,1.2,1,264.847
153,NA,NA,NA,NA,NA,NA,2,NA,2,2,2,2,3,2,3,2,4,2,1,M,1,NA,2,2.666666667,318.8443
154,3,2,2,2,NA,2,NA,NA,3,3,4,4,1,1,1,1,1,1,0,M,1,2.2,3.5,1,439.0672
155,NA,NA,NA,NA,NA,NA,3,3,3,NA,3,3,2,1,1,1,1,2,1,M,1,NA,3,1.333333333,482.0361
156,NA,NA,NA,NA,NA,NA,NA,3,NA,3,2,2,3,2,1,1,2,1,1,M,1,NA,2.5,1.666666667,314.4588
157,1,1,1,NA,4,1,4,4,4,NA,2,3,1,1,1,1,1,1,0,F,1,1.6,3.4,1,385.2323
158,2,NA,2,1,4,3,3,2,2,3,3,NA,1,1,1,1,1,2,1,M,1,2.4,2.6,1.166666667,556.1088
159,1,NA,2,2,2,3,4,4,NA,NA,3,2,NA,NA,NA,NA,NA,NA,0,F,0,2,3.25,NA,454.5166
160,3,2,NA,3,4,4,4,4,NA,3,3,4,NA,NA,NA,NA,NA,NA,1,F,1,3.2,3.6,NA,361.6229
161,4,NA,4,4,4,4,4,3,NA,NA,4,4,NA,NA,NA,NA,NA,NA,0,M,0,4,3.75,NA,357.8623
162,1,1,1,1,NA,1,4,4,4,4,NA,4,1,1,1,1,1,1,0,M,1,1,4,1,403.9022
163,4,4,NA,4,4,4,4,3,2,NA,4,NA,2,1,1,1,1,1,0,M,1,4,3.25,1.166666667,412.4587
164,1,3,3,3,NA,3,3,3,NA,3,4,4,1,2,1,1,1,4,0,F,1,2.6,3.4,1.666666667,325.7057
165,2,1,3,2,NA,3,NA,4,4,3,NA,4,3,2,1,1,1,1,0,F,1,2.2,3.75,1.5,290.9659
166,2,NA,2,2,3,2,4,NA,4,4,NA,4,1,1,1,1,1,1,0,M,1,2.2,4,1,385.6931
167,4,NA,4,4,4,4,2,1,NA,4,NA,3,NA,NA,NA,NA,NA,NA,0,F,1,4,2.5,NA,357.9965
168,3,3,4,4,NA,4,2,2,NA,NA,3,1,NA,NA,NA,NA,NA,NA,0,M,1,3.6,2,NA,362.0076
169,2,3,3,3,NA,4,2,2,2,NA,2,NA,3,2,2,1,1,1,0,M,1,3,2,1.666666667,434.9961
170,NA,1,1,1,4,2,3,NA,NA,3,2,1,1,1,1,1,1,4,1,M,1,1.8,2.25,1.5,355.3168
171,3,3,3,3,4,NA,2,3,NA,3,NA,4,2,1,1,1,1,3,1,F,1,3.2,3,1.5,404.4095
172,3,3,3,4,4,NA,NA,3,4,3,2,NA,1,1,1,1,1,2,0,M,1,3.4,3,1.166666667,415.8943
173,NA,1,1,1,3,1,4,4,4,NA,4,NA,1,1,1,1,1,1,0,M,1,1.4,4,1,344.0604
174,2,2,2,2,NA,2,3,3,4,NA,3,3,1,3,2,2,2,2,0,M,1,2,3.2,2,453.5287
175,3,1,1,1,NA,1,NA,3,2,1,1,1,1,1,1,1,1,1,0,M,1,1.4,1.6,1,358.2244
176,3,2,3,NA,4,3,3,3,4,3,NA,NA,1,2,2,1,1,3,1,F,1,3,3.25,1.666666667,446.5871
177,4,4,NA,4,4,4,3,3,3,3,NA,NA,1,1,NA,1,1,1,1,F,1,4,3,1,310.1969
178,NA,NA,NA,NA,NA,NA,2,NA,4,NA,3,3,1,1,1,1,1,2,0,M,1,NA,3,1.166666667,342.7584
179,4,4,3,4,NA,3,2,4,NA,3,4,NA,1,2,2,1,1,3,0,M,1,3.6,3.25,1.666666667,379.6289
180,3,2,2,4,NA,3,1,NA,NA,2,1,2,1,1,1,1,1,1,1,M,1,2.8,1.5,1,424.3796
181,4,3,3,3,4,NA,NA,NA,3,4,3,3,1,1,1,1,1,1,0,F,1,3.4,3.25,1,297.4159
182,4,4,4,4,4,NA,4,NA,4,3,NA,1,1,2,2,1,2,4,0,M,0,4,3,2,463.6498
183,4,3,NA,3,4,4,3,3,2,4,3,NA,3,2,2,1,2,2,0,M,1,3.6,3,2,397.5534
184,3,3,3,NA,4,3,NA,2,NA,NA,3,3,1,2,2,2,1,2,1,M,1,3.2,2.666666667,1.666666667,344.52
185,4,NA,3,3,3,NA,3,3,3,4,NA,NA,4,3,1,1,1,3,0,F,1,3.25,3.25,2.166666667,357.6141
186,2,2,NA,2,3,2,3,3,NA,NA,3,3,1,1,1,1,1,2,1,M,1,2.2,3,1.166666667,375.0601
187,4,3,3,4,NA,3,3,3,NA,3,NA,NA,1,4,4,4,4,4,0,M,1,3.4,3,3.5,307.7398
188,NA,3,2,3,1,1,4,NA,3,NA,4,3,1,1,1,1,1,1,1,F,1,2,3.5,1,347.153
189,3,3,3,4,3,NA,2,2,NA,NA,3,4,1,2,1,1,2,1,1,M,1,3.2,2.75,1.333333333,420.3061
190,2,NA,1,3,4,NA,NA,4,4,4,4,NA,1,1,1,1,1,1,0,M,1,2.5,4,1,344.6422
191,2,NA,2,2,2,2,NA,3,3,3,NA,1,1,2,2,1,1,1,0,M,1,2,2.5,1.333333333,400.4925
192,3,2,2,2,NA,4,3,3,NA,4,3,2,1,2,1,1,1,2,0,F,1,2.6,3,1.333333333,458.3964
193,1,1,1,1,NA,1,NA,NA,4,3,4,2,1,1,1,1,1,1,0,M,1,1,3.25,1,403.5015
194,NA,3,3,3,3,3,3,3,4,NA,NA,4,1,1,1,1,1,1,1,F,1,3,3.5,1,295.3112
195,NA,3,3,2,3,3,4,3,4,NA,4,4,1,1,1,1,1,1,0,M,1,2.8,3.8,1,309.6461
196,4,4,NA,4,4,4,2,2,2,NA,2,NA,2,1,1,1,1,2,0,F,1,4,2,1.333333333,429.6743
197,3,NA,3,3,4,4,1,NA,NA,1,1,1,1,2,1,1,1,2,1,F,1,3.4,1,1.333333333,375.8962
198,4,4,4,2,NA,4,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,0,F,1,3.6,1,NA,323.2608
199,NA,1,3,1,4,4,NA,NA,4,4,4,3,1,1,1,1,2,2,0,F,1,2.6,3.75,1.333333333,364.407
200,4,4,4,NA,4,2,3,4,3,NA,3,1,3,4,1,1,1,4,1,F,1,3.6,2.8,2.333333333,299.3217
201,3,2,3,NA,3,2,3,3,4,NA,NA,3,1,1,1,1,1,1,1,M,1,2.6,3.25,1,417.1541
202,3,2,2,3,3,NA,1,NA,NA,2,1,1,1,1,1,1,1,1,0,M,1,2.6,1.25,1,333.2872
203,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,M,1,NA,4,1,298.3632
204,4,4,3,3,NA,3,NA,2,2,3,3,NA,1,1,1,1,1,1,0,F,1,3.4,2.5,1,358.455
205,NA,3,3,3,4,4,NA,3,NA,3,3,3,1,1,1,1,1,1,0,M,1,3.4,3,1,523.0546
206,4,4,4,4,4,NA,2,NA,NA,2,2,2,NA,3,3,3,2,2,0,F,1,4,2,2.6,269.6512
207,1,1,1,1,NA,3,3,NA,2,NA,2,2,1,3,1,1,1,1,0,M,0,1.4,2.25,1.333333333,510.7222
208,3,2,3,3,NA,4,3,2,3,4,NA,3,1,1,4,1,1,2,0,F,1,3,3,1.666666667,350.0897
209,NA,4,4,4,4,4,2,4,4,2,2,NA,2,2,1,1,1,3,0,F,1,4,2.8,1.666666667,360.5314
210,3,NA,3,3,3,3,3,3,NA,4,4,NA,1,1,1,1,1,1,0,F,1,3,3.5,1,347.6375
211,4,NA,3,3,4,4,3,NA,NA,3,3,2,1,1,1,1,1,2,0,M,1,3.6,2.75,1.166666667,411.7378
212,1,NA,1,1,1,1,NA,3,4,4,4,3,NA,NA,NA,NA,NA,NA,0,M,0,1,3.6,NA,624.481
213,2,3,NA,2,3,4,NA,2,2,NA,2,2,2,2,1,1,2,3,0,M,1,2.8,2,1.833333333,369.2822
214,NA,2,2,2,2,2,NA,2,2,3,4,4,1,2,1,1,1,2,1,M,1,2,3,1.333333333,437.3743
215,1,1,NA,1,1,1,NA,3,3,3,3,NA,1,4,2,1,1,2,1,F,1,1,3,1.833333333,350.109
216,NA,3,3,2,3,3,3,3,1,4,3,NA,NA,NA,NA,NA,NA,NA,1,M,1,2.8,2.8,NA,369.0623
217,2,2,3,3,4,NA,1,3,NA,NA,2,2,NA,NA,NA,NA,NA,NA,1,F,1,2.8,2,NA,256.5068
218,NA,1,1,1,3,1,2,NA,NA,1,4,3,1,1,1,1,1,1,0,M,1,1.4,2.5,1,352.8742
219,NA,1,1,2,4,3,3,NA,NA,3,4,4,1,1,1,1,1,1,0,M,0,2.2,3.5,1,515.8897
220,NA,2,2,2,3,4,2,3,3,2,NA,1,2,2,1,1,1,2,0,M,1,2.6,2.2,1.5,468.1369
